transaction_id,amount,merchant_category,hour_of_day,account_age_days,distance_from_home_km,is_fraud
123,68.48,Dining,11,1156,10.6,0
124,238.07,Travel,17,1440,2.4,0
125,151.98,Utilities,5,349,17.1,0
126,60.53,Fuel,4,3274,0.2,0
127,316.06,Entertainment,16,412,4.2,0
128,101.82,Travel,11,2452,9.7,0
129,662.91,Utilities,4,168,131.4,1
130,178.69,Grocery,6,607,12.9,0
131,34.86,Electronics,9,2596,16.1,0
132,41.84,Dining,9,2185,7.5,0
133,125.21,Electronics,0,602,5.3,0
134,80.76,Utilities,16,2469,28.7,0
135,40.37,Jewelry,0,3068,10.8,0
136,79.83,Electronics,3,2327,11.4,0
137,26.6,Dining,22,2910,44.1,0
138,341.53,Online Retail,23,2792,8.3,0
139,18.61,Electronics,13,925,21.8,0
140,191.77,Utilities,8,2691,4.5,0
141,56.82,Travel,7,3290,6.7,0
142,26.65,Electronics,3,668,2.5,0
143,28.07,Dining,14,1300,7.4,0
144,140.08,Fuel,18,3162,10.6,0
145,53.79,Dining,6,546,37.1,0
146,119.33,Travel,21,2364,1.3,0
147,19.8,Travel,9,3056,23.0,0
148,35.3,Travel,16,1626,2.3,0
149,48.5,Travel,20,2317,29.7,0
150,105.01,Online Retail,21,2253,13.0,0
151,98.65,Dining,11,1023,4.8,0
152,16.99,Jewelry,19,808,9.0,0
153,31.47,Jewelry,0,1320,13.5,0
154,102.87,Dining,12,2313,0.9,0
155,42.77,Grocery,19,2551,9.4,0
156,41.92,Utilities,19,803,9.1,0
157,11.03,Jewelry,17,1341,24.6,0
158,222.7,Online Retail,7,3538,3.9,0
159,34.69,Fuel,8,2646,1.4,0
160,96.3,Utilities,13,570,12.6,0
161,234.13,Utilities,4,3312,12.6,0
162,62.94,ATM Withdrawal,3,3541,27.9,0
163,83.65,Online Retail,3,3565,1.7,0
164,29.49,Entertainment,4,905,18.3,0
165,31.02,Jewelry,13,757,11.0,0
166,18.46,Grocery,23,2013,31.6,0
167,45.25,Electronics,17,3461,10.0,0
168,21.11,Utilities,19,2909,7.2,0
169,35.74,ATM Withdrawal,19,1584,5.3,0
170,72.28,Dining,12,3208,33.8,0
171,131.42,Travel,0,2017,31.1,0
172,530.94,Electronics,20,183,11.3,1
173,17.16,Entertainment,11,252,8.3,0
174,142.89,Jewelry,20,1630,24.5,0
175,27.12,Utilities,7,848,13.6,0
176,276.67,Travel,14,2452,2.9,0
177,24.59,Grocery,20,2158,5.7,0
178,46.28,Utilities,8,978,1.7,0
179,47.34,Fuel,1,3581,0.7,0
180,95.56,Fuel,12,132,31.5,0
181,31.41,Travel,8,3301,7.0,0
182,52.91,Entertainment,5,3350,12.6,0
183,38.79,Entertainment,14,463,31.9,0
184,101.42,Grocery,22,461,2.5,0
185,24.38,Dining,3,1392,14.0,0
186,67.8,Online Retail,10,3414,5.0,0
187,73.03,Utilities,14,1164,29.5,0
188,225.43,Electronics,10,1734,10.5,0
189,36.83,Jewelry,22,2752,0.4,0
190,63.57,ATM Withdrawal,5,3130,6.9,0
191,96.63,Grocery,15,3296,39.3,0
192,122.02,ATM Withdrawal,3,2911,1.0,0
193,787.04,Dining,19,3600,8.5,0
194,43.03,ATM Withdrawal,9,3453,13.2,0
195,85.2,Jewelry,9,684,5.7,0
196,109.29,Travel,14,1030,40.3,0
197,33.83,Travel,0,3634,7.0,0
198,56.03,Dining,11,1690,9.9,0
199,137.8,Entertainment,20,2922,6.9,0
200,118.19,Travel,19,2099,12.1,0
201,189.9,Entertainment,19,1747,7.8,0
202,36.01,ATM Withdrawal,4,3388,14.1,0
203,70.1,Utilities,23,1898,1.7,0
204,109.57,Entertainment,22,1715,4.9,0
205,57.51,Entertainment,12,1701,13.7,0
206,298.07,Utilities,18,421,33.3,1
207,12.11,Dining,4,2168,8.6,0
208,78.56,Travel,11,1346,8.9,0
209,364.5,Entertainment,4,317,117.6,1
210,21.22,Grocery,17,1085,0.4,0
211,150.63,ATM Withdrawal,17,944,16.0,0
212,27.32,Grocery,11,419,57.9,0
213,203.42,Dining,20,3362,22.8,0
214,229.4,ATM Withdrawal,18,3255,4.6,0
215,131.69,Travel,16,1584,7.1,0
216,237.63,ATM Withdrawal,6,2585,10.3,0
217,19.1,Electronics,8,1572,1.9,0
218,271.77,Utilities,21,2682,23.4,0
219,147.41,Fuel,5,3107,18.9,0
220,292.62,Travel,19,1942,0.1,0
221,11.53,Utilities,7,2792,3.2,0
222,48.5,Entertainment,17,140,7.7,0
223,227.22,Dining,21,1806,5.3,0
224,26.51,ATM Withdrawal,22,801,19.4,0
225,15.02,Fuel,17,924,34.4,0
226,172.44,Fuel,20,2067,15.7,0
227,49.78,Entertainment,19,2139,32.2,0
228,95.01,Jewelry,0,1278,0.7,0
229,67.1,Travel,21,1402,0.9,0
230,6.45,Online Retail,8,3335,12.5,0
231,52.58,Online Retail,20,2028,8.4,0
232,68.3,Electronics,19,50,0.8,0
233,138.99,Grocery,17,44,9.0,0
234,50.49,Jewelry,7,679,1.2,0
235,42.1,Travel,8,2827,23.6,0
236,65.27,Fuel,5,558,6.3,0
237,27.75,Entertainment,21,3446,14.4,0
238,68.39,Fuel,5,2078,14.0,0
239,89.88,Fuel,1,2619,9.9,0
240,17.58,Fuel,4,3312,44.6,0
241,37.46,Jewelry,6,1310,41.5,0
242,131.11,Electronics,23,526,18.7,0
243,34.8,Grocery,14,1749,3.1,0
244,41.22,Dining,7,2723,15.3,0
245,256.57,Fuel,1,10,288.0,1
246,179.25,Jewelry,4,3069,0.3,0
247,135.26,Grocery,21,976,16.1,0
248,22.77,Utilities,19,2177,28.8,0
249,59.94,ATM Withdrawal,7,3338,1.3,0
250,60.82,Dining,6,3391,0.4,0
251,55.5,Online Retail,1,92,17.6,0
252,33.9,Grocery,21,1186,9.1,0
253,187.69,Utilities,5,574,52.2,0
254,483.55,Dining,11,199,1.6,0
255,44.8,Fuel,19,1764,3.3,0
256,66.13,Entertainment,21,2077,1.6,0
257,31.16,Online Retail,9,3307,20.1,0
258,84.27,ATM Withdrawal,13,1272,0.5,0
259,31.71,Travel,8,500,6.7,0
260,54.1,ATM Withdrawal,16,1257,13.0,0
261,358.09,Entertainment,6,1545,5.9,0
262,126.78,Online Retail,19,2683,19.1,0
263,331.57,Electronics,1,1141,40.5,0
264,108.2,Fuel,23,932,35.3,0
265,5.19,Travel,9,2273,1.4,0
266,139.72,Dining,2,3557,8.6,0
267,30.42,Utilities,17,2684,0.5,0
268,43.01,Travel,4,2616,10.7,0
269,76.4,Fuel,23,3510,4.8,0
270,345.01,Entertainment,23,1216,18.3,0
271,431.72,Utilities,3,1087,0.8,0
272,58.92,Jewelry,12,1629,4.8,0
273,38.21,Dining,2,2775,30.1,0
274,14.53,Utilities,5,2466,6.6,0
275,175.23,Electronics,6,683,2.5,0
276,36.9,Electronics,22,2721,30.4,0
277,97.69,Dining,20,661,37.0,0
278,116.99,Electronics,6,2119,4.8,0
279,33.7,Travel,1,2867,8.3,0
280,37.32,Fuel,8,1043,12.6,0
281,15.63,Travel,2,96,17.2,0
282,58.82,Grocery,15,1970,10.1,0
283,89.42,Travel,14,3010,37.3,0
284,144.12,Online Retail,16,1309,28.0,0
285,101.48,Travel,2,3236,22.6,0
286,49.23,Utilities,20,2821,14.0,0
287,18.34,Travel,16,906,4.7,0
288,73.24,Travel,5,1938,6.6,0
289,7.42,Travel,14,2170,11.1,0
290,295.02,Fuel,11,3338,8.3,0
291,29.93,Jewelry,0,1162,7.3,0
292,80.07,Fuel,9,242,22.4,0
293,359.31,Utilities,5,1866,25.4,0
294,100.2,Online Retail,9,3266,21.1,0
295,71.53,Grocery,0,1137,2.7,0
296,50.42,Utilities,23,2531,0.0,0
297,91.35,Travel,12,1724,0.5,0
298,119.97,Entertainment,1,2327,16.6,0
299,193.57,Travel,17,842,9.0,0
300,8.64,Entertainment,17,1764,3.7,0
301,45.02,Dining,16,2304,17.4,0
302,113.08,Grocery,1,3295,11.7,0
303,32.1,Online Retail,7,1536,0.7,0
304,66.74,Jewelry,23,3642,11.5,0
305,21.63,Entertainment,5,1908,5.7,0
306,113.38,Online Retail,14,1274,0.4,0
307,180.63,Grocery,12,395,29.3,0
308,81.68,Fuel,19,2906,49.3,0
309,182.99,Utilities,19,1071,4.2,0
310,181.7,Travel,23,3513,0.7,0
311,11.55,Fuel,23,315,36.7,0
312,76.99,Online Retail,7,2682,22.4,0
313,53.61,Fuel,15,3251,16.4,0
314,57.92,Dining,15,2054,8.0,0
315,558.85,Electronics,3,412,14.3,0
316,32.18,Fuel,1,1184,35.3,0
317,55.89,ATM Withdrawal,2,2753,1.5,0
318,48.33,Grocery,2,3074,20.7,0
319,120.55,Grocery,5,2072,1.6,0
320,41.31,Entertainment,16,2870,27.1,0
321,84.38,Dining,0,1588,10.0,0
322,18.42,Grocery,11,3266,10.6,0
323,97.48,Electronics,18,1714,31.8,0
324,53.02,Fuel,2,3579,1.7,0
325,20.55,Jewelry,17,2781,3.9,0
326,42.14,Fuel,19,3403,6.9,0
327,90.63,ATM Withdrawal,4,1996,0.2,0
328,35.17,Online Retail,10,3533,2.4,0
329,171.75,Jewelry,18,2242,7.5,0
330,83.9,Travel,6,1016,18.9,0
331,54.55,ATM Withdrawal,9,131,6.4,0
332,241.33,Fuel,9,1984,30.0,0
333,45.28,Entertainment,3,102,3.0,1
334,56.55,Online Retail,3,1377,22.3,0
335,81.47,Electronics,17,1839,6.3,0
336,85.69,Utilities,2,163,10.7,0
337,77.25,Electronics,16,2251,5.4,0
338,87.02,Online Retail,18,838,6.3,0
339,110.0,Electronics,11,1997,2.9,0
340,72.85,ATM Withdrawal,3,1452,21.4,0
341,39.79,Jewelry,18,3620,11.4,0
342,112.18,Grocery,21,2370,3.4,0
343,133.58,Dining,6,3127,18.5,0
344,14.88,Entertainment,8,2564,31.7,0
345,33.01,Utilities,22,2654,1.6,0
346,51.67,ATM Withdrawal,12,2315,23.3,0
347,9.02,Travel,22,1207,14.3,0
348,44.74,Utilities,9,79,38.3,0
349,171.94,Entertainment,10,660,41.5,0
350,113.15,Dining,2,1595,9.1,0
351,314.61,Grocery,23,2164,20.8,0
352,57.88,ATM Withdrawal,1,1215,1.5,0
353,10.96,Fuel,12,1805,0.4,0
354,15.85,Jewelry,14,2123,2.6,0
355,39.44,Fuel,10,1632,9.6,0
356,43.53,Fuel,19,1305,1.0,0
357,25.07,Fuel,18,2096,44.0,0
358,54.08,Travel,15,2263,5.3,0
359,36.08,Online Retail,15,2876,1.7,0
360,308.1,Dining,5,1808,39.7,0
361,100.59,ATM Withdrawal,13,3588,7.4,0
362,72.29,Electronics,6,1418,0.0,0
363,39.8,Dining,21,3130,13.5,0
364,23.31,Online Retail,23,3026,9.5,0
365,35.43,Online Retail,0,487,12.4,0
366,57.48,Utilities,22,1454,11.9,0
367,69.59,Entertainment,21,572,16.6,0
368,39.42,Fuel,0,2769,27.1,0
369,18.31,ATM Withdrawal,15,3270,6.7,0
370,50.51,Travel,11,505,9.3,0
371,34.35,Dining,0,1878,3.0,0
372,58.86,Fuel,0,2171,7.4,0
373,96.86,Grocery,21,1796,2.2,0
374,215.1,Utilities,18,1530,7.7,0
375,82.8,Dining,5,2899,12.1,0
376,223.08,Entertainment,12,234,36.7,0
377,33.75,Fuel,19,2872,5.1,0
378,98.56,Fuel,15,3420,12.2,0
379,185.43,Electronics,0,1760,5.1,0
380,88.94,Entertainment,10,3127,7.3,0
381,39.65,ATM Withdrawal,1,596,13.8,0
382,21.73,Jewelry,4,1353,5.6,0
383,24.73,Electronics,22,1383,13.8,0
384,298.92,Online Retail,4,2250,10.6,0
385,147.41,Utilities,5,3312,17.8,0
386,49.3,Entertainment,11,3309,3.7,0
387,27.58,ATM Withdrawal,0,2503,7.7,0
388,166.69,Travel,4,3194,13.1,0
389,344.06,Jewelry,21,254,16.9,0
390,91.65,Dining,0,2615,1.1,0
391,80.09,Dining,17,1303,7.6,0
392,95.79,Jewelry,5,1539,6.4,0
393,20.79,Jewelry,6,2837,6.2,0
394,21.53,Grocery,1,2102,57.1,0
395,69.4,Grocery,0,472,30.2,0
396,44.8,Online Retail,5,2756,23.1,0
397,43.62,Electronics,15,967,4.7,0
398,139.43,Travel,9,2739,5.7,0
399,33.44,Electronics,14,1439,31.8,0
400,247.44,Electronics,13,728,5.3,0
401,20.52,Entertainment,10,168,4.6,0
402,43.69,Entertainment,4,3054,46.2,0
403,17.74,Online Retail,18,966,2.6,0
404,517.27,Travel,13,249,0.8,0
405,10.56,Fuel,0,161,5.5,0
406,57.77,Jewelry,14,696,5.9,0
407,49.4,Fuel,8,1483,1.6,0
408,1708.78,Jewelry,2,176,6.0,1
409,19.75,ATM Withdrawal,6,1032,30.8,0
410,24.89,Jewelry,0,2817,14.1,0
411,40.05,Dining,12,1748,10.5,0
412,378.04,ATM Withdrawal,21,1731,20.7,0
413,389.3,ATM Withdrawal,8,3585,8.8,0
414,175.44,Online Retail,6,418,13.5,0
415,68.75,Utilities,10,3513,37.0,0
416,284.8,Dining,10,294,20.2,0
417,88.48,ATM Withdrawal,5,410,0.3,0
418,681.85,Grocery,20,3287,34.2,0
419,15.06,Entertainment,12,2325,27.5,0
420,61.82,Dining,2,3097,20.8,0
421,93.0,Entertainment,10,1897,5.3,0
422,143.84,Utilities,1,2898,2.6,0
423,11.53,Entertainment,17,336,7.4,0
424,211.59,Grocery,8,3020,35.9,0
425,34.69,Utilities,18,454,0.7,0
426,156.76,Fuel,6,2476,20.0,0
427,134.42,Entertainment,13,844,9.1,0
428,187.58,Online Retail,15,1657,13.1,0
429,66.06,Jewelry,19,1640,0.5,0
430,17.73,Travel,13,2109,1.5,0
431,16.1,Utilities,22,3158,4.4,0
432,146.22,Utilities,21,3214,2.5,0
433,16.1,ATM Withdrawal,14,3222,32.6,0
434,105.43,Electronics,14,590,12.3,0
435,39.83,Dining,10,2965,14.6,0
436,197.96,Dining,13,3279,14.7,0
437,84.9,Grocery,3,737,19.2,0
438,42.31,Dining,2,333,7.9,0
439,75.22,Travel,3,3545,5.5,0
440,69.71,Electronics,17,2667,18.7,0
441,60.14,Online Retail,13,2595,0.7,0
442,83.41,Travel,1,2400,4.1,0
443,364.68,ATM Withdrawal,19,1479,29.3,0
444,39.0,Utilities,2,155,6.1,0
445,38.44,Utilities,4,1001,2.7,0
446,49.99,Entertainment,16,1955,12.3,0
447,61.35,Entertainment,22,1462,11.6,0
448,239.21,Electronics,3,281,9.1,0
449,103.82,Online Retail,21,2424,11.1,0
450,28.76,Dining,17,3601,9.9,0
451,254.89,ATM Withdrawal,19,768,3.4,0
452,94.57,Electronics,15,206,12.0,0
453,45.43,Electronics,20,1216,1.9,0
454,48.94,ATM Withdrawal,21,1689,13.9,0
455,103.34,Jewelry,11,2212,4.4,0
456,28.53,Grocery,0,3208,12.2,0
457,453.59,Entertainment,3,367,35.3,1
458,185.58,Fuel,17,1753,10.2,0
459,60.08,ATM Withdrawal,13,1158,16.1,0
460,85.28,Entertainment,16,1188,40.7,0
461,90.85,Electronics,14,1773,3.1,0
462,27.61,Grocery,14,3040,3.1,0
463,118.79,Electronics,16,1590,12.5,0
464,57.24,Online Retail,1,500,21.6,0
465,373.63,Dining,7,1273,13.7,0
466,31.2,Entertainment,9,2705,24.2,0
467,93.31,Utilities,3,801,36.9,0
468,36.62,Utilities,17,2581,0.5,0
469,218.08,Fuel,7,3152,8.2,0
470,16.41,Online Retail,2,328,10.3,0
471,6721.51,Jewelry,4,104,142.9,1
472,149.74,Dining,16,3144,1.0,0
473,39.61,ATM Withdrawal,17,677,9.1,0
474,70.8,Travel,19,1231,4.9,0
475,73.32,Electronics,0,1659,11.5,0
476,56.42,ATM Withdrawal,21,1153,9.6,0
477,22.96,Dining,3,473,20.8,0
478,119.3,Utilities,5,1724,9.8,0
479,349.63,Fuel,20,3389,26.3,0
480,43.19,Grocery,10,66,17.1,0
481,136.07,Fuel,3,1793,30.2,0
482,65.97,Online Retail,22,527,6.0,0
483,88.01,ATM Withdrawal,11,385,16.8,0
484,146.08,Online Retail,6,408,26.4,0
485,85.88,Fuel,3,2243,2.8,0
486,130.59,Entertainment,19,1937,0.6,0
487,166.57,Fuel,19,2687,28.1,0
488,86.18,ATM Withdrawal,23,2555,0.4,0
489,35.44,Travel,10,3000,0.3,0
490,192.79,Travel,4,2512,16.8,0
491,180.92,Dining,11,3611,1.4,0
492,174.62,ATM Withdrawal,20,220,49.8,0
493,117.76,Entertainment,8,1957,37.2,0
494,25.65,Utilities,9,895,14.9,0
495,44.37,Jewelry,21,2412,0.8,0
496,40.64,Electronics,3,3026,5.9,0
497,48.97,Utilities,14,36,56.5,0
498,60.29,Online Retail,6,1286,13.5,0
499,300.39,Online Retail,7,1228,25.9,0
500,58.92,Online Retail,14,3072,5.8,0
501,61.54,Grocery,6,1613,23.3,0
502,57.73,Utilities,5,1061,26.4,0
503,40.88,Online Retail,11,116,12.0,0
504,15.11,Jewelry,11,1468,9.3,0
505,48.78,Grocery,14,1869,42.4,0
506,314.94,Fuel,1,695,47.3,0
507,152.83,Travel,15,1389,12.9,0
508,132.26,Utilities,4,3400,3.3,0
509,34.82,Electronics,5,79,60.1,0
510,72.82,Dining,17,212,16.1,0
511,31.37,Travel,8,3250,2.4,0
512,57.34,Utilities,9,1706,27.1,0
513,20.45,Travel,3,339,6.1,0
514,20.08,Grocery,14,2128,8.6,0
515,85.24,Entertainment,15,802,53.9,0
516,91.68,Grocery,14,1512,18.7,0
517,74.76,Grocery,20,1931,1.9,0
518,168.23,Jewelry,20,3409,26.7,0
519,78.52,Utilities,22,286,22.1,0
520,54.06,Dining,8,3367,22.9,0
521,76.79,ATM Withdrawal,21,235,35.9,0
522,56.24,Dining,19,2245,4.0,0
523,43.9,Fuel,12,3463,9.6,0
524,35.16,Fuel,4,227,26.6,0
525,97.18,Electronics,4,2071,0.4,0
526,43.69,Utilities,20,918,12.1,0
527,22.37,ATM Withdrawal,0,2183,51.2,0
528,156.87,Utilities,6,1716,2.4,0
529,97.37,Utilities,5,2143,1.8,0
530,67.71,Utilities,18,2990,0.6,0
531,51.29,Grocery,7,2934,12.8,0
532,79.97,Entertainment,13,3386,1.7,0
533,31.22,Entertainment,5,1823,10.1,0
534,113.12,Dining,8,2920,2.4,0
535,46.15,ATM Withdrawal,22,1898,6.0,0
536,25.33,Grocery,7,2902,2.6,0
537,42.17,Grocery,8,1425,0.1,0
538,119.51,Grocery,21,2017,21.0,0
539,159.66,Travel,7,806,11.4,0
540,51.9,ATM Withdrawal,11,2198,28.8,0
541,68.25,Travel,1,703,4.2,0
542,24.99,Dining,16,1023,0.1,0
543,71.7,Electronics,8,3334,5.9,0
544,18.05,Utilities,9,448,11.4,0
545,143.73,ATM Withdrawal,21,2684,7.8,0
546,114.77,Utilities,12,1726,32.4,0
547,69.61,ATM Withdrawal,9,628,9.3,0
548,108.24,Jewelry,18,3640,5.3,0
549,40.85,Electronics,2,1619,15.8,0
550,178.11,Travel,7,963,7.0,0
551,305.01,Entertainment,12,1108,41.8,0
552,34.54,Utilities,2,734,26.8,0
553,91.66,Dining,9,2389,16.8,0
554,103.93,Utilities,5,716,29.3,0
555,37.52,Dining,5,2031,16.4,0
556,49.25,Electronics,4,1110,18.4,0
557,197.44,Jewelry,6,2240,3.7,0
558,61.39,Utilities,10,1113,10.7,0
559,13.78,Electronics,19,1827,25.9,0
560,80.8,Entertainment,14,160,0.4,0
561,281.67,Online Retail,11,1917,41.7,0
562,84.9,Utilities,5,1249,3.3,0
563,329.22,Fuel,0,1354,7.3,0
564,799.32,Grocery,2,59,352.9,1
565,18.86,Fuel,22,2656,9.4,0
566,75.92,ATM Withdrawal,11,3040,3.2,0
567,37.18,Jewelry,15,1454,15.4,0
568,66.86,Jewelry,0,1091,16.9,0
569,133.86,Dining,14,844,5.6,0
570,145.09,ATM Withdrawal,3,990,12.9,0
571,48.83,Online Retail,12,1503,5.0,0
572,89.11,Online Retail,22,2718,1.0,0
573,60.12,ATM Withdrawal,11,2088,29.5,0
574,149.64,ATM Withdrawal,9,603,10.1,0
575,37.57,Grocery,23,1830,8.2,0
576,297.33,Fuel,1,2722,4.4,0
577,518.37,Jewelry,17,837,31.9,0
578,54.06,Fuel,8,1878,46.5,0
579,43.0,Entertainment,11,3609,23.8,0
580,50.68,Grocery,17,2366,19.2,0
581,152.11,Utilities,13,3011,19.9,0
582,29.76,Electronics,6,1493,38.4,0
583,15.73,Entertainment,11,2972,19.5,0
584,8.94,Fuel,7,3459,8.8,0
585,20.37,ATM Withdrawal,14,3604,3.0,0
586,18.72,Jewelry,10,3056,5.6,0
587,40.51,Jewelry,20,1083,30.6,0
588,43.26,Grocery,1,282,2.9,0
589,6.71,Entertainment,21,2494,3.9,0
590,118.51,Travel,6,3228,6.0,0
591,55.77,Dining,14,2563,62.9,0
592,47.1,Travel,12,370,15.7,0
593,32.91,Electronics,12,481,11.9,0
594,45.6,Jewelry,6,3096,6.6,0
595,34.11,ATM Withdrawal,20,3100,9.0,0
596,51.15,Fuel,9,3090,7.3,0
597,66.64,Jewelry,13,947,0.4,0
598,44.12,Grocery,14,3059,7.3,0
599,69.88,ATM Withdrawal,21,2868,9.3,0
600,73.5,Electronics,9,3586,55.1,0
601,250.7,Online Retail,8,1510,10.3,0
602,35.67,Online Retail,7,947,5.9,0
603,39.84,Travel,9,986,22.9,0
604,231.18,ATM Withdrawal,15,65,46.1,0
605,69.36,Grocery,8,1560,3.4,0
606,93.17,Travel,0,2841,6.2,0
607,23.7,Dining,10,158,0.8,0
608,176.28,Grocery,1,1385,6.6,0
609,28.51,Jewelry,7,1021,0.8,0
610,42.43,Travel,5,1376,14.4,0
611,85.53,Entertainment,0,3056,0.7,0
612,47.47,Jewelry,10,1762,40.4,0
613,49.46,Online Retail,9,2682,16.4,0
614,8.97,Entertainment,16,366,11.0,0
615,108.49,Utilities,16,2512,9.5,0
616,61.91,Electronics,18,2355,5.8,0
617,133.23,ATM Withdrawal,5,3542,21.5,0
618,63.58,Utilities,17,677,37.5,0
619,172.35,ATM Withdrawal,23,1659,19.0,0
620,40.08,Fuel,10,968,25.6,0
621,81.73,Grocery,9,773,23.8,0
622,97.87,Grocery,2,2261,6.1,0
